Year,Quarter,Region,Model,Units Delivered,Average Price (USD),Production Delay (Days),Battery Type,Drive Type,Color
2022,Q1,North America,Semi,2303,55815.81,8,Performance,AWD,Green
2024,Q2,Australia,Model X,2326,48215.76,48,Long Range,AWD,Red
2017,Q2,North America,Model S,1916,100710.81,5,Standard,AWD,Blue
2022,Q2,Asia,Model S,1926,104853.22,51,Long Range,RWD,White
2023,Q4,South America,Model Y,3015,53642.26,8,Performance,RWD,Red
2023,Q1,South America,Model X,2836,44481.93,27,Standard,RWD,Red
2013,Q3,Asia,Model 3,524,55474.09,36,Standard,AWD,Green
2023,Q2,Asia,Model Y,3109,72238.51,33,Long Range,AWD,Black
2015,Q3,Australia,Model 3,4467,46246.51,59,Performance,RWD,Black
2015,Q2,Europe,Cybertruck,3725,46915.5,11,Long Range,RWD,Black
2018,Q1,Australia,Model X,3777,59246.18,44,Performance,RWD,Black
2014,Q1,South America,Model S,1976,69320.92,60,Performance,AWD,Silver
2017,Q1,North America,Model Y,4662,119668.2,4,Performance,AWD,Silver
2013,Q2,Asia,Model S,926,98105.42,9,Long Range,RWD,Silver
2016,Q2,Australia,Cybertruck,3553,82677.08,7,Standard,AWD,Silver
2018,Q2,Europe,Model 3,1500,109920.38,1,Standard,RWD,Blue
2015,Q1,Europe,Model Y,2739,58681.26,4,Long Range,RWD,Green
2018,Q1,Australia,Cybertruck,1607,56651.41,45,Long Range,AWD,Silver
2016,Q4,Asia,Model Y,2472,82125.06,12,Long Range,RWD,Green
2024,Q2,North America,Model X,4272,91427.58,39,Long Range,AWD,Black
2018,Q2,Europe,Semi,95,110876.09,55,Standard,RWD,Black
2021,Q4,South America,Model Y,1353,98210.71,30,Long Range,RWD,Black
2014,Q2,Australia,Semi,1301,95045.63,4,Long Range,RWD,White
2023,Q2,Australia,Model 3,2285,72046.06,1,Long Range,RWD,Green
2016,Q4,Asia,Model 3,3774,62781.89,48,Long Range,RWD,Blue
2014,Q4,North America,Cybertruck,1835,74527.89,16,Long Range,AWD,Silver
2015,Q1,South America,Semi,2039,43661.61,49,Long Range,AWD,Silver
2018,Q2,South America,Semi,2262,87352.55,58,Performance,RWD,Blue
2017,Q2,Australia,Model 3,2956,102815.75,21,Long Range,RWD,Silver
2016,Q3,Australia,Cybertruck,4399,64219.38,47,Performance,RWD,White
2024,Q3,North America,Model 3,2476,54336.07,11,Long Range,AWD,Green
2019,Q1,North America,Model Y,4078,41296.98,40,Performance,AWD,Black
2018,Q3,South America,Cybertruck,543,86818.63,47,Standard,AWD,Green
2019,Q1,Europe,Model X,4881,91200.56,59,Standard,RWD,Red
2016,Q4,Australia,Model S,4949,38388.17,27,Performance,RWD,Silver
2021,Q4,Australia,Model S,3900,64576.69,21,Long Range,AWD,Black
2012,Q4,Australia,Model S,1586,79067.35,39,Long Range,RWD,Red
2013,Q4,North America,Semi,1311,77361.92,45,Long Range,RWD,Blue
2021,Q4,Europe,Model Y,4462,76169.02,21,Performance,RWD,Blue
2014,Q4,North America,Model 3,4164,117055.06,21,Standard,RWD,Red
2020,Q4,Asia,Semi,4047,109152.56,2,Performance,AWD,Black
2017,Q4,Europe,Model 3,4401,70024.4,43,Standard,AWD,Black
2016,Q2,North America,Model Y,2880,118950.39,19,Performance,RWD,Green
2022,Q4,Asia,Model S,4686,108530.73,49,Performance,AWD,Silver
2024,Q4,North America,Cybertruck,3038,97250.58,5,Long Range,RWD,Green
2024,Q2,Australia,Cybertruck,3046,42675.74,25,Standard,RWD,Silver
2021,Q2,North America,Semi,3853,112297.95,19,Performance,RWD,Red
2018,Q2,Australia,Semi,861,105863.91,39,Long Range,RWD,Red
2019,Q1,Europe,Semi,4941,117542.93,3,Long Range,AWD,Black
2013,Q1,Europe,Model S,2984,102148.7,15,Performance,RWD,Red
2022,Q3,Australia,Semi,305,40170.16,30,Long Range,RWD,Green
2020,Q4,North America,Semi,987,107487.38,41,Performance,AWD,Blue
2013,Q1,North America,Model Y,841,98290.06,23,Standard,AWD,Silver
2015,Q1,Asia,Cybertruck,3061,44765.25,17,Performance,AWD,Blue
2022,Q4,North America,Model 3,301,42799.4,33,Standard,RWD,Blue
2018,Q3,Europe,Cybertruck,982,64339.69,7,Long Range,RWD,Silver
2014,Q2,Australia,Cybertruck,1935,77522.3,53,Performance,RWD,Red
2024,Q4,Asia,Model S,3627,106781.17,15,Long Range,RWD,Silver
2022,Q2,Europe,Model S,1249,56757.3,11,Performance,AWD,Green
2012,Q3,South America,Model S,2592,74248.11,2,Standard,RWD,White
2014,Q1,Australia,Model S,2863,118502.77,5,Performance,AWD,Red
2017,Q1,Asia,Model S,4620,92662.24,18,Long Range,AWD,White
2022,Q1,Australia,Cybertruck,3014,36549.6,19,Standard,AWD,White
2024,Q2,Australia,Model S,3415,65965.45,46,Standard,RWD,Silver
2014,Q2,South America,Model 3,2098,39435.28,30,Long Range,AWD,Green
2017,Q2,Australia,Model S,3121,54085.79,20,Standard,RWD,Black
2023,Q4,North America,Model X,1996,60597.85,3,Standard,RWD,Green
2022,Q1,South America,Model X,604,116039.31,34,Performance,AWD,Blue
2020,Q3,Europe,Semi,3856,118369.63,30,Performance,AWD,Black
2024,Q2,Asia,Model X,441,108592.85,21,Long Range,AWD,White
2018,Q2,South America,Model X,2681,43720.82,20,Performance,RWD,White
2022,Q4,Asia,Cybertruck,1360,115987.1,9,Performance,RWD,Red
2022,Q3,Europe,Model S,262,97532.36,31,Performance,RWD,Silver
2024,Q3,Asia,Semi,581,81749.76,18,Long Range,AWD,Green
2014,Q1,North America,Model X,3311,119965.58,46,Long Range,RWD,Blue
2020,Q2,Asia,Model 3,1376,62426.16,45,Standard,RWD,Silver
2022,Q3,South America,Model S,282,41903.94,60,Performance,RWD,Green
2019,Q4,Europe,Model X,1226,61569.51,45,Long Range,RWD,Blue
2018,Q2,Europe,Model X,4782,96295.92,12,Standard,RWD,Silver
2022,Q4,Asia,Cybertruck,116,107009.65,27,Standard,RWD,Green
2021,Q1,Europe,Model S,3276,66721.86,21,Performance,RWD,Black
2017,Q2,Australia,Cybertruck,2501,85466.6,32,Performance,RWD,Green
2021,Q2,North America,Cybertruck,3985,49493.53,40,Performance,RWD,Black
2023,Q1,Europe,Cybertruck,1748,82675.38,42,Long Range,RWD,White
2016,Q2,Australia,Model X,3980,64648.27,59,Performance,RWD,White
2015,Q2,South America,Model X,4654,94174.56,8,Standard,AWD,Black
